[     493ms] [WARNING] THREE.THREE.Clock: This module has been deprecated. Please use THREE.Timer instead. @ http://localhost:3000/_next/static/chunks/7d626_next_dist_e768cca1._.js:2297
[ 3580446ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3581447ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3582448ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3583449ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3584451ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3589453ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3594457ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3599480ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3604502ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3609547ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3614622ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
[ 3619922ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=p1-IkLWs-9ZqgXwVzIxyV' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/7d626_next_dist_client_9a27084e._.js:10878
